"FARE_DESC","CONTAINS_ID"
"Biglietto Urbano Trento 70 min",1
"Biglietto Urbano Trento 70 min",935
"Biglietto Urbano Trento 70 min",937
"Biglietto Urbano Trento 70 min",944
"Biglietto Urbano Trento 70 min",946
"Biglietto Urbano Trento 70 min",1010
"Biglietto Urbano Trento 70 min",10110
"Biglietto Urbano Trento 70 min",11015
"Biglietto Urbano Trento 70 min",15650
"Biglietto Urbano Trento 70 min",19025
"Biglietto Urbano Trento 70 min",2010
"Biglietto Urbano Trento 70 min",20110
"Biglietto Urbano Trento 70 min",2030
"Biglietto Urbano Trento 70 min",2620
"Biglietto Urbano Trento 70 min",2621
"Biglietto Urbano Trento 70 min",3010
"Biglietto Urbano Trento 70 min",3020
"Biglietto Urbano Trento 70 min",3610
"Biglietto Urbano Trento 70 min",3620
"Biglietto Urbano Trento 70 min",3710
"Biglietto Urbano Trento 70 min",3720
"Biglietto Urbano Trento 70 min",3730
"Biglietto Urbano Trento 70 min",4005
"Biglietto Urbano Trento 70 min",4010
"Biglietto Urbano Trento 70 min",7007
"Biglietto Urbano Trento 120 min",1
"Biglietto Urbano Trento 120 min",935
"Biglietto Urbano Trento 120 min",937
"Biglietto Urbano Trento 120 min",944
"Biglietto Urbano Trento 120 min",946
"Biglietto Urbano Trento 120 min",1010
"Biglietto Urbano Trento 120 min",10110
"Biglietto Urbano Trento 120 min",11015
"Biglietto Urbano Trento 120 min",15650
"Biglietto Urbano Trento 120 min",19025
"Biglietto Urbano Trento 120 min",2010
"Biglietto Urbano Trento 120 min",20110
"Biglietto Urbano Trento 120 min",2030
"Biglietto Urbano Trento 120 min",2620
"Biglietto Urbano Trento 120 min",2621
"Biglietto Urbano Trento 120 min",3010
"Biglietto Urbano Trento 120 min",3020
"Biglietto Urbano Trento 120 min",3610
"Biglietto Urbano Trento 120 min",3620
"Biglietto Urbano Trento 120 min",3710
"Biglietto Urbano Trento 120 min",3720
"Biglietto Urbano Trento 120 min",3730
"Biglietto Urbano Trento 120 min",4005
"Biglietto Urbano Trento 120 min",4010
"Biglietto Urbano Trento 120 min",7007
"Biglietto Urbano Giornaliero Trento",1
"Biglietto Urbano Giornaliero Trento",935
"Biglietto Urbano Giornaliero Trento",937
"Biglietto Urbano Giornaliero Trento",944
"Biglietto Urbano Giornaliero Trento",946
"Biglietto Urbano Giornaliero Trento",1010
"Biglietto Urbano Giornaliero Trento",10110
"Biglietto Urbano Giornaliero Trento",11015
"Biglietto Urbano Giornaliero Trento",15650
"Biglietto Urbano Giornaliero Trento",19025
"Biglietto Urbano Giornaliero Trento",2010
"Biglietto Urbano Giornaliero Trento",20110
"Biglietto Urbano Giornaliero Trento",2030
"Biglietto Urbano Giornaliero Trento",2620
"Biglietto Urbano Giornaliero Trento",2621
"Biglietto Urbano Giornaliero Trento",3010
"Biglietto Urbano Giornaliero Trento",3020
"Biglietto Urbano Giornaliero Trento",3610
"Biglietto Urbano Giornaliero Trento",3620
"Biglietto Urbano Giornaliero Trento",3710
"Biglietto Urbano Giornaliero Trento",3720
"Biglietto Urbano Giornaliero Trento",3730
"Biglietto Urbano Giornaliero Trento",4005
"Biglietto Urbano Giornaliero Trento",4010
"Biglietto Urbano Giornaliero Trento",7007
"Biglietto Urbano Giornaliero Pda Rovereto",10101
"Biglietto Urbano Giornaliero Pda Rovereto",10121
"Biglietto Urbano Giornaliero Pda Rovereto",11096
"Biglietto Urbano Giornaliero Pda Rovereto",13041
"Biglietto Urbano Giornaliero Pda Rovereto",14051
"Biglietto Urbano Giornaliero Pda Rovereto",15091
"Biglietto Urbano Giornaliero Pda Rovereto",16011
"Biglietto Urbano Giornaliero Pda Rovereto",16501
"Biglietto Urbano Giornaliero Pda Rovereto",17031
"Biglietto Urbano Giornaliero Pda Rovereto",18041
"Biglietto Urbano Giornaliero Pda Rovereto",18511
"Biglietto Urbano Giornaliero Pda Rovereto",19011
"Biglietto Urbano Giornaliero Pda Rovereto",3030
"Biglietto Urbano Giornaliero Pda Rovereto",3040
"Biglietto Urbano Giornaliero Pda Rovereto",3055
"Biglietto Urbano Giornaliero Pda Rovereto",3070
"Biglietto Urbano Giornaliero Pda Rovereto",3100
"Biglietto Urbano Giornaliero Pda Rovereto",3101
"Biglietto Urbano Giornaliero Pda Rovereto",3102
"Biglietto Urbano Giornaliero Pda Rovereto",3103
"Biglietto Urbano Giornaliero Pda Rovereto",3104
"Biglietto Urbano Giornaliero Pda Rovereto",3105
"Biglietto Urbano Giornaliero Pda Rovereto",3111
"Biglietto Urbano Giornaliero Pda Rovereto",3150
"Biglietto Urbano Giornaliero Pda Rovereto",3198
"Biglietto Urbano Giornaliero Pda Rovereto",3201
"Biglietto Urbano Giornaliero Pda Rovereto",3230
"Biglietto Urbano Giornaliero Pda Rovereto",3264
"Biglietto Urbano Giornaliero Pda Rovereto",3310
"Biglietto Urbano Giornaliero Pda Rovereto",3312
"Biglietto Urbano Giornaliero Pda Rovereto",3320
"Biglietto Urbano Giornaliero Pda Rovereto",3341
"Biglietto Urbano Giornaliero Pda Rovereto",3542
"Biglietto Urbano Alto Garda 120 min",960
"Biglietto Urbano Alto Garda 120 min",19500
"Biglietto Urbano Alto Garda 120 min",19600
"Biglietto Urbano Alto Garda 120 min",19650
"Biglietto Urbano Alto Garda 120 min",19700
"Biglietto Urbano Alto Garda 120 min",19750
"Biglietto Urbano Alto Garda 120 min",19800
"Biglietto Urbano Alto Garda 120 min",19900
"Biglietto Urbano Alto Garda 120 min",19950
"Biglietto Urbano Alto Garda 120 min",2136
"Biglietto Urbano Alto Garda 120 min",2160
"Biglietto Urbano Alto Garda 120 min",2163
"Biglietto Urbano Alto Garda 120 min",2179
"Biglietto Urbano Alto Garda 120 min",3465
"Biglietto Urbano Alto Garda 120 min",3470
"Biglietto Urbano Alto Garda 120 min",3480
"Biglietto Urbano Alto Garda 120 min",3510
"Biglietto Urbano Alto Garda 120 min",3520
"Biglietto Urbano Giornaliero Alto Garda",960
"Biglietto Urbano Giornaliero Alto Garda",19500
"Biglietto Urbano Giornaliero Alto Garda",19600
"Biglietto Urbano Giornaliero Alto Garda",19650
"Biglietto Urbano Giornaliero Alto Garda",19700
"Biglietto Urbano Giornaliero Alto Garda",19750
"Biglietto Urbano Giornaliero Alto Garda",19800
"Biglietto Urbano Giornaliero Alto Garda",19900
"Biglietto Urbano Giornaliero Alto Garda",19950
"Biglietto Urbano Giornaliero Alto Garda",2136
"Biglietto Urbano Giornaliero Alto Garda",2160
"Biglietto Urbano Giornaliero Alto Garda",2163
"Biglietto Urbano Giornaliero Alto Garda",2179
"Biglietto Urbano Giornaliero Alto Garda",3465
"Biglietto Urbano Giornaliero Alto Garda",3470
"Biglietto Urbano Giornaliero Alto Garda",3480
"Biglietto Urbano Giornaliero Alto Garda",3510
"Biglietto Urbano Giornaliero Alto Garda",3520
"Biglietto Urbano Pergine 150 min",4020
"Biglietto Urbano Pergine 150 min",4022
"Biglietto Urbano Pergine 150 min",4023
"Biglietto Urbano Pergine 150 min",4080
"Biglietto Urbano Pergine 150 min",4100
"Biglietto Urbano Pergine 150 min",4111
"Biglietto Urbano Pergine 150 min",4112
"Biglietto Urbano Pergine 150 min",4120
"Biglietto Urbano Pergine 150 min",4127
"Biglietto Urbano Pergine 150 min",4130
"Biglietto Urbano Pergine 150 min",4132
"Biglietto Urbano Pergine 150 min",4133
"Biglietto Urbano Pergine 150 min",4134
"Biglietto Urbano Pergine 150 min",4137
"Biglietto Urbano Pergine 150 min",4200
"Biglietto Urbano Pergine 150 min",4210
"Biglietto Urbano Pergine 150 min",4250
"Biglietto Urbano Pergine 150 min",4280
"Biglietto Urbano Pergine 150 min",4281
"Biglietto Urbano Pergine 150 min",4282
"Biglietto Urbano Pergine 150 min",4290
"Biglietto Urbano Pda Rovereto 180 min",10101
"Biglietto Urbano Pda Rovereto 180 min",10121
"Biglietto Urbano Pda Rovereto 180 min",11096
"Biglietto Urbano Pda Rovereto 180 min",13041
"Biglietto Urbano Pda Rovereto 180 min",14051
"Biglietto Urbano Pda Rovereto 180 min",15091
"Biglietto Urbano Pda Rovereto 180 min",16011
"Biglietto Urbano Pda Rovereto 180 min",16501
"Biglietto Urbano Pda Rovereto 180 min",17031
"Biglietto Urbano Pda Rovereto 180 min",18041
"Biglietto Urbano Pda Rovereto 180 min",18511
"Biglietto Urbano Pda Rovereto 180 min",19011
"Biglietto Urbano Pda Rovereto 180 min",3030
"Biglietto Urbano Pda Rovereto 180 min",3040
"Biglietto Urbano Pda Rovereto 180 min",3055
"Biglietto Urbano Pda Rovereto 180 min",3070
"Biglietto Urbano Pda Rovereto 180 min",3100
"Biglietto Urbano Pda Rovereto 180 min",3101
"Biglietto Urbano Pda Rovereto 180 min",3102
"Biglietto Urbano Pda Rovereto 180 min",3103
"Biglietto Urbano Pda Rovereto 180 min",3104
"Biglietto Urbano Pda Rovereto 180 min",3105
"Biglietto Urbano Pda Rovereto 180 min",3111
"Biglietto Urbano Pda Rovereto 180 min",3150
"Biglietto Urbano Pda Rovereto 180 min",3198
"Biglietto Urbano Pda Rovereto 180 min",3201
"Biglietto Urbano Pda Rovereto 180 min",3230
"Biglietto Urbano Pda Rovereto 180 min",3264
"Biglietto Urbano Pda Rovereto 180 min",3310
"Biglietto Urbano Pda Rovereto 180 min",3312
"Biglietto Urbano Pda Rovereto 180 min",3320
"Biglietto Urbano Pda Rovereto 180 min",3341
"Biglietto Urbano Pda Rovereto 180 min",3542
"Biglietto Urbano Alto Garda 70 min",960
"Biglietto Urbano Alto Garda 70 min",19500
"Biglietto Urbano Alto Garda 70 min",19600
"Biglietto Urbano Alto Garda 70 min",19650
"Biglietto Urbano Alto Garda 70 min",19700
"Biglietto Urbano Alto Garda 70 min",19750
"Biglietto Urbano Alto Garda 70 min",19800
"Biglietto Urbano Alto Garda 70 min",19900
"Biglietto Urbano Alto Garda 70 min",19950
"Biglietto Urbano Alto Garda 70 min",2136
"Biglietto Urbano Alto Garda 70 min",2160
"Biglietto Urbano Alto Garda 70 min",2163
"Biglietto Urbano Alto Garda 70 min",2179
"Biglietto Urbano Alto Garda 70 min",3465
"Biglietto Urbano Alto Garda 70 min",3470
"Biglietto Urbano Alto Garda 70 min",3480
"Biglietto Urbano Alto Garda 70 min",3510
"Biglietto Urbano Alto Garda 70 min",3520
"Biglietto Urbano Pergine 70 min",4020
"Biglietto Urbano Pergine 70 min",4022
"Biglietto Urbano Pergine 70 min",4023
"Biglietto Urbano Pergine 70 min",4080
"Biglietto Urbano Pergine 70 min",4100
"Biglietto Urbano Pergine 70 min",4111
"Biglietto Urbano Pergine 70 min",4112
"Biglietto Urbano Pergine 70 min",4120
"Biglietto Urbano Pergine 70 min",4127
"Biglietto Urbano Pergine 70 min",4130
"Biglietto Urbano Pergine 70 min",4132
"Biglietto Urbano Pergine 70 min",4133
"Biglietto Urbano Pergine 70 min",4134
"Biglietto Urbano Pergine 70 min",4137
"Biglietto Urbano Pergine 70 min",4200
"Biglietto Urbano Pergine 70 min",4210
"Biglietto Urbano Pergine 70 min",4250
"Biglietto Urbano Pergine 70 min",4280
"Biglietto Urbano Pergine 70 min",4281
"Biglietto Urbano Pergine 70 min",4282
"Biglietto Urbano Pergine 70 min",4290
"Biglietto Giornaliero Linea A Rovereto",10121
"Biglietto Giornaliero Linea A Rovereto",11096
"Biglietto Urbano Giornaliero Pergine",4020
"Biglietto Urbano Giornaliero Pergine",4022
"Biglietto Urbano Giornaliero Pergine",4023
"Biglietto Urbano Giornaliero Pergine",4080
"Biglietto Urbano Giornaliero Pergine",4100
"Biglietto Urbano Giornaliero Pergine",4111
"Biglietto Urbano Giornaliero Pergine",4112
"Biglietto Urbano Giornaliero Pergine",4120
"Biglietto Urbano Giornaliero Pergine",4127
"Biglietto Urbano Giornaliero Pergine",4130
"Biglietto Urbano Giornaliero Pergine",4132
"Biglietto Urbano Giornaliero Pergine",4133
"Biglietto Urbano Giornaliero Pergine",4134
"Biglietto Urbano Giornaliero Pergine",4137
"Biglietto Urbano Giornaliero Pergine",4200
"Biglietto Urbano Giornaliero Pergine",4210
"Biglietto Urbano Giornaliero Pergine",4250
"Biglietto Urbano Giornaliero Pergine",4280
"Biglietto Urbano Giornaliero Pergine",4281
"Biglietto Urbano Giornaliero Pergine",4282
"Biglietto Urbano Giornaliero Pergine",4290
