codReg,tipoStazione,dettZoomStaz,pstaz,mappaCitta,codiceStazione,codStazione,lat,lon,latMappaCitta,lonMappaCitta,localita,esterno,offsetX,offsetY,nomeCitta
9,3,,,|,S02050,S02050,45.733892,10.955842,0,0,AVIO|Avio||S02050,false,0,0,A
9,3,,,|,S02226,S02226,46.472617,11.33334,0,0,BOLZANO SUD |Bolzano Sud||S02226,false,0,0,A
9,3,,,|,S02051,S02051,45.696721,10.927083,0,0,BORGHETTO|Borghetto||S02051,false,0,0,A
9,3,,,|,S02208,S02208,46.626994,10.897884,0,0,CASTELBELLO|Castelbello||S02208,false,0,0,A
9,3,,,|,S02105,S02105,46.797708,11.844223,0,0,CASTELDARNE |Casteldarne||S02105,false,0,0,A
9,3,,,|,S02014,S02014,46.710088,11.649677,0,0,BRESSANONE|Bressanone||S02014,false,0,0,A
9,3,,,|,S02030,S02030,46.40505,11.315833,0,0,BRONZOLO |Bronzolo||S02030,false,0,0,A
9,3,,,|,S02107,S02107,46.794922,11.929989,0,0,BRUNICO |Brunico||S02107,false,0,0,A
9,3,,,|,S02017,S02017,46.642611,11.572678,0,0,CHIUSA |Chiusa||S02017,false,0,0,A
9,3,,,|,S02209,S02209,46.635274,10.940542,0,0,CIARDES|Ciardes||S02209,false,0,0,A
9,3,,,|,S02206,S02206,46.618902,10.821204,0,0,COLDRANO-MARTELLO|Coldrano-Martell||S02206,false,0,0,A
9,3,,,|,S02005,S02005,46.937951,11.441336,0,0,COLLE ISARCO |Colle Isarco||S02005,false,0,0,A
9,3,,,|,S02048,S02048,45.808184,11.014942,0,0,SERRAVALLE|Serravalle||S02048,false,0,0,A
9,3,,,|,S02224,S02224,46.508448,11.264785,0,0,SETTEQUERCE|Settequerce||S02224,false,0,0,A
9,3,,,|,S02205,S02205,46.625613,10.766327,0,0,SILANDRO|Silandro||S02205,false,0,0,A
9,3,,,|,S02202,S02202,46.634571,10.60999,0,0,SPONDIGNA-PRATO VENOSTA|Spondigna-Prato||S02202,false,0,0,A
9,3,,,|,S02223,S02223,46.528517,11.248394,0,0,TERLANO-ANDRIANO|Terlano-Andriano||S02223,false,0,0,A
9,3,,,|,S02317,S02317,46.015059,11.624984,0,0,GRIGNO|Grigno||S02317,false,0,0,A
9,3,,,|,S02207,S02207,46.619692,10.85863,0,0,LACES|Laces||S02207,false,0,0,A
9,3,,,|,S02029,S02029,46.43409,11.323533,0,0,LAIVES |Laives||S02029,false,0,0,A
9,3,,,|,S02204,S02204,46.618617,10.694828,0,0,LASA|Lasa||S02204,false,0,0,A
9,3,,,|,S02037,S02037,46.148306,11.095993,0,0,LAVIS|Lavis||S02037,false,0,0,A
9,3,,,|,S02046,S02046,45.861216,11.002648,0,0,MORI|Mori||S02046,false,0,0,A
9,3,,,|,S02211,S02211,46.645095,11.004303,0,0,NATURNO|Naturno||S02211,false,0,0,A
9,3,,,|,S02308,S02308,45.997575,11.264815,0,0,CALDONAZZO|Caldonazzo||S02308,false,0,0,A
9,3,,,|,S02007,S02007,46.869076,11.488231,0,0,CAMPO DI TRENS |Campo di Trens||S02007,false,0,0,A
9,3,,,|,S02312,S02312,46.03618,11.398818,0,0,RONCEGNO BAGNI-MARTER|Roncegno||S02312,false,0,0,A
9,3,,,|,S02306,S02306,46.039743,11.23375,0,0,S.CRISTOFORO AL LAGO-ISCHIA|S.Cristoforo||S02306,false,0,0,A
9,3,,,|,S02111,S02111,46.752775,12.107264,0,0,MONGUELFO VALLE DI CASIES|Monguelfo||S02111,false,0,0,A
9,3,,,|,S02031,S02031,46.36092,11.296781,0,0,ORA|Ora||S02031,false,0,0,A
9,3,,,|,S02203,S02203,46.626672,10.645989,0,0,ORIS|Oris||S02203,false,0,0,A
9,3,,,|,S02110,S02110,46.769231,12.02898,0,0,VALDAORA - ANTERSELVA|Valdaora - Anter||S02110,false,0,0,A
9,3,,,|,S02309,S02309,46.005729,11.30493,0,0,LEVICO|Levico||S02309,false,0,0,A
9,3,,,|,S02033,S02033,46.287976,11.232646,0,0,MAGRE`- CORTACCIA|Magre'-Cortaccia||S02033,false,0,0,A
9,3,,,|,S02200,S02200,46.684542,10.546445,0,0,MALLES VENOSTA|Malles Venosta||S02200,false,0,0,A
9,3,,,|,S02217,S02217,46.656202,11.147931,0,0,MERANO MAIA BASSA|Merano Maia Bass||S02217,false,0,0,A
9,3,,,|,S02035,S02035,46.207258,11.128595,0,0,MEZZOCORONA|Mezzocorona||S02035,false,0,0,A
9,3,,,|,S02113,S02113,46.725049,12.225122,0,0,DOBBIACO |Dobbiaco||S02113,false,0,0,A
9,3,,,|,S02032,S02032,46.319418,11.257177,0,0,EGNA-TERMENO |Egna-Termeno||S02032,false,0,0,A
9,3,,,|,S02305,S02305,46.062482,11.232637,0,0,PERGINE|Pergine||S02305,false,0,0,A
9,3,,,|,S02112,S02112,46.736492,12.167041,0,0,VILLABASSA - BRAIES|Villabassa||S02112,false,0,0,A
9,3,,,|,S02300,S02300,46.045911,11.13906,0,0,VILLAZZANO|Villazzano||S02300,false,0,0,A
9,3,,,|,S02222,S02222,46.554251,11.220143,0,0,VILPIANO-NALLES|Vilpiano-Nalles||S02222,false,0,0,A
9,3,,,|,S02225,S02225,46.485444,11.297719,0,0,PONTE D`ADIGE|Ponte d'Adige||S02225,false,0,0,A
9,3,,,|,S02020,S02020,46.6012,11.53251,0,0,PONTE GARDENA|Ponte Gardena||S02020,false,0,0,A
9,3,,,|,S02201,S02201,46.664329,10.581832,0,0,SLUDERNO-GLORENZA|Sluderno-Glorenz||S02201,false,0,0,A
9,3,,,|,S02315,S02315,46.051003,11.514327,0,0,STRIGNO|Strigno||S02315,false,0,0,A
9,3,,,|,S02049,S02049,45.760087,10.996775,0,0,ALA|Ala||S02049,false,0,0,A
9,3,,,|,S02318,S02318,45.990485,11.669726,0,0,TEZZE DI GRIGNO|Tezze di Grigno||S02318,false,0,0,A
9,3,,,|,S02212,S02212,46.65844,11.041057,0,0,PLAUS|Plaus||S02212,false,0,0,A
9,3,,,|,S02214,S02214,46.664558,11.138577,0,0,MARLENGO|Marlengo||S02214,false,0,0,A
9,3,,,|,S02314,S02314,46.05224,11.462119,0,0,BORGO VALSUGANA EST|Borgo Valsug. E.||S02314,false,0,0,A
9,3,,,|,S02307,S02307,46.007384,11.240713,0,0,CALCERANICA|Calceranica||S02307,false,0,0,A
9,3,,,|,S02103,S02103,46.814822,11.723079,0,0,VANDOIES|Vandoies||S02103,false,0,0,A
9,3,,,|,S02003,S02003,46.056242,11.13624,0,0,TRENTO S.CHIARA|Trento S.Chiara||S02003,false,0,0,A
9,3,,,|,S02102,S02102,46.79712,11.670028,0,0,RIO DI PUSTERIA|Rio di Pusteria||S02102,false,0,0,A
9,3,,,|,S02034,S02034,46.245842,11.202681,0,0,SALORNO|Salorno||S02034,false,0,0,A
9,3,,,|,S02219,S02219,46.608079,11.182252,0,0,LANA-POSTAL |Lana-Postal||S02219,false,0,0,A
9,3,,,|,S02006,S02006,46.895732,11.440206,0,0,VIPITENO|Vipiteno||S02006,false,0,0,A
21,4,S02026|8|9|true|true|true|true|null|S02026|10|11|true|true|true|true|null,,|,S02026,S02026,46.496346,11.358556,0,0,BOLZANO |Bolzano|Bolzano|S02026,true,0,0,Bolzano 
21,3,S02313|8|9|true|true|true|true|null|S02313|10|11|true|true|true|true|null,,|,S02313,S02313,46.051182,11.453967,0,0,BORGO VALSUGANA CENTRO|Borgo Valsugana||S02313,false,-4,18,Borgo Valsugana
21,4,S02052|8|9|true|true|true|true|null|S02052|10|11|true|true|true|true|null,,|,S02052,S02052,45.658402,10.900314,0,0,PERI|Peri||S02052,true,28,20,Peri
21,3,S02044|8|9|true|true|true|true|null|S02044|10|11|true|true|true|true|null,,|,S02044,S02044,45.890985,11.033518,0,0,ROVERETO|Rovereto||S02044,false,58,20,Rovereto
21,1,S02038|8|9|true|true|true|true|null|S02038|10|11|true|true|true|true|null,,|,S02038,S02038,46.072414,11.118941,0,0,TRENTO|Trento|Trento|S02038,false,44,20,Trento
21,4,S02319|8|9|true|true|true|true|null|S02319|10|11|true|true|true|true|null,,|,S02319,S02319,45.965315,11.700899,0,0,PRIMOLANO|Primolano||S02319,true,-4,10,Primolano